index	doc	subdoc	word	lemma	form	sense_1	sense_2	sense_3	sense_4	translation	vectors
0	0085-001	episode	1890	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.362986328202014, -0.215208891969858, -0.215208891969858, 0.0465734888938194, -0.32644556571438, -0.0111654365612089, 0.0374625282223333, -0.158349303862649, -0.151325573645479, -0.49065602315172, 0.0073029093745921, 0.151779522459039, -0.107257683719315, 0.249249330799651, -0.1218046167723539, -0.248901820792477, -0.0280767023046911, 0.0552885618408319, 0.172603684847346, 0.179384201278528, 0.275700157360944, 0.0711068258491792, 0.0568045940001785, -0.0361357420141901, 0.275680919757852, 0.189578726881748, 0.22714812704367, -0.246056572146843, -0.037918029855772, 0.197218603770299, 0.190714892714428, 0.0814534863004877, -0.0507259634571524, -0.0210917188667489, 0.278585040029003, 0.153430131448389, -0.14755018773269, -0.0588850229830807, -0.0959367660967341, -0.0920661662548264, 0.313252723969184, 0.172413088732494, 0.0083591652294428, 0.357619182415486, -0.037425295534047, 0.123307296061754, 0.441466942354912, -0.0065082754664268, -0.0245092506153378, -0.169518592083934, 0.0510244174031892, -0.1605479411205279, -0.0472227873654264, -0.117307598041083, 0.114177149121889, -0.0379584720642948, 0.435824112454762, 0.148003303637882, 0.232438259348907, -0.0348734249590653, -0.116898220142734, -0.156042438699422, 0.266925022461084, -0.187144216851522, -0.203308720853805, -0.0541510509008412, -0.0508920428042977, -0.138542101641831, -0.0042375975646889, -0.0854472735599901, 0.0443378419557331, -0.122997841178939, -0.0156474463261877, -0.0430733005440531, -0.122940059396513, 0.0625460158409609, -0.0182870629366193, -0.251469571906039, 0.153839062879021, 0.0515523291459545, -0.0222036715029236, -0.137786065258657, -0.22866871272567, 0.139527120827031, 5.716685552510579e-05, 0.102997316608329, 0.220918018948683, -0.0276003721643988, -0.125545175379366, -0.158022842425802, 0.128252644262973, -0.109136848104589, -0.0652303008620289, -0.182033564960526, -0.0781408508450759, -0.206049068505248, -0.0431964841274056, 0.472240315931529, 0.108893238262385, -0.0663590323563103
1	0085-001	episode	2754	ἀρχή	ἀρχῆς	A	II	4	a	magistrate,	0.109604161126356, -0.0726445712240325, -0.0726445712240325, -0.162103220584471, -0.109609196958768, -0.0985357144800595, 0.0452575157786725, -0.124915342141902, 0.112332438936483, 0.0341784428696758, -0.0701347990054799, -0.053558665706531, 0.0444275417899874, 0.0062570655783895, -0.0240024928654148, -0.0462538982670954, -0.0353900682177484, 0.0636616744891734, -0.0019500843698421, 0.0731581808301204, -0.0259961319502619, 0.0627148896925223, -0.014514548297588, -0.0134755660118756, 0.0621818908892349, 0.0392186893623786, -0.0649802082896469, -0.05969562398531, 0.0562456060790878, 0.0283691641319361, 0.0092477823418098, -0.0601451653231554, -0.0847595805656496, -0.0601518995801815, -0.03294195337376, -0.0419077466230354, -0.0640221215710471, -0.052367297876519, -0.0512165844292782, 0.0694872511319373, 0.0409065639246833, -0.0661036907802136, 0.0656569783925252, 0.0126092923083164, 0.163991637521517, 0.0172297937805538, -0.0664399518226887, 0.0457630878569938, -0.0380877050335055, -0.0523035113479524, -0.0049842920030431, -0.051537917174735, -0.0019147297336798, -0.009750218214041, 0.0193612945600403, 0.0267708089022739, -0.0784610997772321, 0.104130725593142, -0.0377804177554968, 0.0367785229917844, 0.0128362002044881, -0.0618023925296197, 0.0476001369414267, 0.0659890053569863, -0.0394547064449128, 0.0338753918431995, -0.0320656056704756, 0.0966089015535911, -0.0088307052368146, -0.0480129892881193, -0.0917225622897723, -0.088427754177848, 0.0482943232937433, -0.036318612964602, -0.172882914610044, -0.0116953172260571, 0.0314659335703638, 0.0035851311741927, -0.0368559064165852, -0.0325333863296191, -0.024387540294236, -0.126645635519084, 0.0136431225103451, 0.161642831671578, -0.114274356231359, 0.0016974285674913, -0.0778840726716442, -0.0863171704671116, -0.0208576661633021, 0.0059176112859412, -0.0121355624573749, -0.0569935988148672, -0.104170284410982, -0.0483744639572745, -0.0114232013783511, 0.0107469998949731, 0.0575807138269585, -0.069736081369552, 0.0324309643750701, -0.135688964961809
2	0085-005	antistrophe	25932	ἀρχή	ἀρχάς	A	II	4	a	magistrate,	0.0160167520793375, -0.046066255803835, -0.046066255803835, -0.0062561181499029, -0.0349269496376395, -0.0015860707083488, 0.0420218608875064, -0.0851685850457011, 0.0762713183941885, -0.0338375889131953, 0.0421245238378797, -0.0242581754673422, 0.0194264595771307, -0.0345167794426911, -0.0197782123844232, -0.0110015693595646, -0.0021429882104735, 0.0211079598272039, 0.0352313652754207, -0.0211854027218249, 0.0917150220993237, 0.0019116449568073, 0.0298428357333507, -0.0011829884851809, -0.0115856554230116, -0.0348474775131816, -0.0089242815137665, 0.0284016540120784, -0.004349011570574, 0.0209731972676494, 0.094468174514339, 0.0516116065501139, 0.0161236621153578, 0.0287728929342223, -0.000329849125564842, 0.0598202505430218, -0.0050313860367465, -0.0255048818835113, 0.0273404943260055, -0.0417752340315885, 0.0157412143102698, 0.0343169881641609, -0.0171210844513087, -0.0934301173822058, -0.0678028959231438, 0.0428815251471866, 0.0056755193236257, -0.0323608242157321, -0.0046922072019299, -0.047628426624089, 0.0930450171905792, 0.0046671334497839, 0.0595977314720608, -0.0486678464896286, -0.0359745995949474, 0.0187366756617684, -0.043550406008125, 0.0220113988613235, -0.0696503725710436, 0.0356663104195771, -0.0268652435367993, 0.0014275003414898, 0.0856488352036421, 0.0164326474485687, -0.0760664463770251, 0.0365613150168833, 0.009147306068176, -0.0721546409585957, -0.0294766263194072, 0.0387366496010226, 0.014974171071768, 0.0070930658888822, 0.0275055668169359, 0.0584711135940717, -0.0362781743594819, 0.0198088948162707, -0.0151480516925778, -0.0748573461960372, 0.0540244847887375, -0.0492032831200885, 0.0126034052330195, 0.0198467198210907, -0.0430147161489512, 0.0432454839911785, 0.0370414733615371, 0.0170642777751086, 0.0743983027984283, 0.0252006892386352, 0.0403930725906707, 0.0106628702222277, -0.0201898356771536, 0.014544976655656, -0.0375863866220466, -0.019744318519717, 0.0659549408873751, -0.0448542761981616, 0.0168267826784767, 0.0613528922700021, -0.0488542570159669, 0.001976505374081
3	0085-006	anapests	40098	ἀρχή	ἀρχάς	A	II	1	a	first place	0.54322467648954, -1.00604265608964, -1.00604265608964, 0.630264243276215, 0.0845016875197486, -0.260228479265077, -0.728763463469185, 0.103662724998707, -0.271863634763877, -0.325599983706706, 0.302474602770006, -0.350958582959436, 0.0786015972667332, 0.0783608826672951, 0.173185215501368, 0.171660349905408, -0.0950966984363324, -0.322083257689724, 0.283574508765417, 0.185990832214776, 0.0197899804683854, 0.2420929899960129, -0.212576109856127, 0.0673961852557969, -0.216407905746015, 0.190107305381224, 0.518327797956016, -0.234647554852775, -0.001125998263792, -0.230474277251629, -0.319009044995116, -0.206290617243701, -0.167747994571899, 0.245006848025974, -0.167699552991457, -0.470964949120455, 0.019823061010807, -0.03197273165073, -0.432050059969417, 0.0072679702728831, 0.0246513165931522, 0.357784654522162, -0.0105370581767397, 0.194243892094004, 0.0731308934302417, -0.0481410214473069, 0.130923574493875, 0.116250950376896, -0.0297764152255148, -0.10717520710645, -0.189710025724341, 0.34757027279917, -0.32932282118944, -0.340532245043029, 0.0328674399107545, -0.159267152751764, 0.155040379454609, 0.171024334881206, 0.0145521250563581, -0.202218493107964, -0.294084059448199, -0.314373637644238, -0.0108959188098577, -0.175300377152318, -0.0602426358205674, -0.226320102040624, 0.23640489438647, 0.0910228205569421, -0.603953336382776, -0.0753294601540926, 0.363468251343992, -0.0588426731788575, 0.227245055113255, 0.13328772093139, 0.0662343611816532, 0.202143048891661, 0.0604625797581419, 0.0216615456225538, 0.150067296722941, -0.105627667417791, -0.0996129710070597, -0.225490159377591, 0.144734442637309, -0.206754526542311, -0.111706859263588, 0.281810364418438, -0.093800164652404, 0.0467339327922654, -0.0340811841265374, 0.0456199793520822, -0.152604081873554, -0.0322660607492988, -0.0076960302921762, -0.0513032038386967, -0.0585923815756662, -0.214944746339612, -0.0684989521343171, -0.120580298848335, -0.0503368644671579, 0.200947614446051
4	0006-005	750	242939	ἀρχή	ἀρχὰς	A	I	3	a	end, corner,	0.641025041703628, -0.1525840207130989, -0.1525840207130989, -0.0701031953723293, 0.3035551301240041, 0.557947969009464, -0.25019280519817, -0.108741628758762, 0.3000666784287138, -0.0980497005636073, 0.2828439631327342, 0.5275708468717258, 0.1830917186925386, -0.3391819945452837, 0.2983600576526246, -0.036576295400373, -0.0911409981813617, -0.0617038108900588, -0.2389734528335805, -0.1525984931697518, 0.3053443489119155, 0.0158653750709, 0.6025734041974354, -0.3957312818640206, -0.135358936107855, -0.2754174509484979, -0.0500074626113067, -0.0288402201440161, -0.2877012071870373, 0.0848742108601034, -0.1951655988658497, -0.2010044285416252, -0.0483833223179886, -0.0798857316714723, -0.0488024322566888, 0.1684614817890109, 0.07280335683581, 0.1120196474114696, -0.2024269632077478, 0.3181503402999887, 0.0452932677692026, -0.1405276980575041, 0.0980753479288438, 0.0472879496698314, 0.031668623961309, -0.2631331799208488, -0.03981830604385, 0.0624085943293044, -0.0858153888247728, -0.0560711438322206, -0.3693598922738696, -0.0980381127653773, -0.1679581861419502, 0.2500187632732485, 0.0658374854075598, 0.034719537199647, -0.0003683926894599326, 0.1332389958229723, -0.1195816330626505, 0.0043712370307918, -0.2092636573705437, -0.0310465046895401, 0.1935375100820954, 0.1166130105623243, -0.0494063348861869, 0.0569330986875181, -0.1046447817646166, 0.1108493392929118, -0.0335325466837713, 0.0802342047521973, 0.0147887123036858, -0.0934898541331784, 0.1722052803049027, 0.0145428752578484, -0.0302748879052679, 0.0453782768191259, 0.0108548174327723, -0.1451322736079389, 0.1178877266617166, -0.1551066342878657, -0.0506089044425025, -0.02976255340734, -0.0244180224877466, 0.2093879678832732, -0.1184133703921843, -0.0589729618296188, -0.081972949570741, -0.0338718423697018, -0.023565711725564, 0.0947870935886225, -0.0799438208119837, -0.1206447558317658, -0.0081499465315827, -0.2409540100301213, -0.0508825848321163, -0.0020383625953538, -0.2360585258166133, 0.0762952597553322, -0.0417471911275761, -0.171297232299056
5	0033-001	2	485730	ἀρχή	ἀρχᾷ	A	II	1	a	first place	0.534035135086365, -0.982963808395294, -0.982963808395294, 0.760921314777518, -0.323840301821, -0.391405165050339, -0.601638340273322, 0.407507732518289, -0.203397070966321, -0.382413375075203, 0.424891947977538, -0.377157189861736, 0.207550073049916, -0.498139540242571, 0.177601878265449, 0.607900244519168, 0.101133320632818, -0.0200531563387798, 0.116829425146407, -0.101036339380509, -0.1673481593008, -0.0187008780973855, -0.490340218541467, -0.289147722929594, -0.0149109025527148, -0.0321692240029904, 0.341882578193455, -0.238832963597048, 0.199932461488678, -0.704869233372249, -0.243865292661678, -0.265632373972477, -0.577031102148256, 0.0508543333945796, -0.337419328956534, -0.244954510241415, -0.310974176871252, 0.0554621392781361, 0.0504604324669737, 0.484631935433621, 0.0403561314281734, -0.386413775340054, 0.411192902667836, -0.122645979347963, 0.422158546291166, 0.208393682937582, 0.177747940552104, -0.150636650841483, -0.0142121666089012, 0.148788661579788, 0.254632441075481, -0.0350903561826711, 0.081878524560732, -0.2701200556947, 0.0928855799771474, 0.11071549384222, -0.272409194673787, -0.20655152504117, 0.272376275351865, 0.357019763984681, -0.173796652240725, -0.0559444315536585, -0.0340607659166546, -0.0622131157656902, -0.0750013091085407, -0.135483822185892, -0.180908688448879, 0.0541451441389343, 0.237665117067877, 0.279355755764318, -0.370716110961608, 0.0571721447562783, 0.083178728898158, 0.141345416192626, 0.029379079897967, -0.15462416268131, -0.0294227709625852, 0.160364423879037, -0.0608241567483018, -0.174104218082132, 0.174068091611559, 0.113304357732283, 0.0965481459238884, -0.231881099475578, -0.418192315941579, 0.163301872255268, -0.0168767599732297, 0.166495143353413, -0.0165181691853925, -0.096826579919452, 0.109124232965186, 0.0427403244925751, -0.0042589185202392, -0.0654199201689823, 0.0659196407454607, 0.0040008772766798, 0.106951410218397, 0.117560885963346, -0.0272660500402378, 0.162831715617505
6	0033-002	8	497417	ἀρχή	ἀρχᾶς	A	I	1	b	the beginning,	0.276882785629678, -0.715490071677788, -0.715490071677788, 0.296301093682741, -0.0130202553117547, -0.260535596321938, 0.0512963338761674, -0.688695086557165, 0.489367033018674, -0.125748141199881, 0.2039761906827659, -0.516425716574738, -0.0537510843438796, -0.10173678414573, 0.131909221846341, 0.350160819012021, 0.156626423011597, -0.222548731219787, 0.176518262132921, -0.0720367964353597, -0.0626560985523438, 0.211661989909798, -0.107356347340682, -0.169152703651779, -0.124303391443604, -0.0107750726777443, -0.100901332430424, 0.348323879588967, 0.045246069465743, 0.262277878833232, 0.181426021958945, -0.137395230212004, 0.0938132156004206, 0.264275871157372, -0.038605113119895, -0.224772024512192, -0.0011877439546827, 0.0848778736595925, -0.0883821901845574, 0.0408943432114107, -0.168069957215394, 0.124431915579524, -0.0537815462543236, -0.3278940915684509, -0.0774403238570572, 0.223125078283418, -0.135232568138328, -0.0928467333635274, -0.104992633840493, 0.008641215379987, 0.1080691685301189, 0.202174635893265, -0.472992435946438, 0.132358317606621, -0.2400539414689169, 0.0690706606493833, 0.355843931731206, -0.043236037331646, 0.186250564916429, -0.234350991437772, -0.219622138431173, 0.104546639666081, -0.0133460919926548, -0.070362092195897, 0.222281881315949, 0.158664706220408, -0.022541022282647, 0.214238735360356, -0.100035503380173, 0.181592256925851, 0.0512366965740877, -0.255470143552689, 0.138029514181357, -0.296128874620415, 0.200328589087153, 0.0993974203915639, 0.0842929522110202, 0.0250056293584942, -0.125285752233639, 0.172092062207507, 0.084932187294805, 0.291461387372458, -0.0330662254468972, -0.237558475312727, 0.0335822371026533, -0.0854127741618994, 0.0861351786258681, -0.119237942853323, -0.189364173086476, -0.111828154668275, 0.0609023319151199, 0.2261231734822, -0.0126425305493416, -0.0539861807161312, -0.0676847835059488, 0.0172447130528086, -0.4332382952196769, 0.0239033985792391, 0.142245945987252, 0.0176364249372606
7	0033-003	1	500004	ἀρχή	ἀρχαὶ	A	I	1	a	beginning, origin,	1.54153482247501, 0.359038834298619, 0.359038834298619, 0.0445632929499026, 1.51023811232096, 1.0535542856903, 0.292295795526045, -0.358169102641104, -0.319617820667064, -0.196066851535261, 0.734146119823243, 0.4748329896098751, 0.170963299363587, -1.11767212803456, -0.122854451157283, 0.70714952549742, 0.0110295745770655, 0.697266078222335, -0.2390678431314519, 0.495828489703228, 0.229378191756205, -0.672903528924107, -0.392503933044985, -0.9184160622513268, 0.178950324496503, -0.785614936448533, -0.29393597436664, 0.179366464058584, -0.637763342308752, -0.0775163166780557, -0.351072112619204, -0.2363998978149439, -0.0602068714929007, -0.648388888052866, -0.077926151451079, -0.0772117131242456, -0.115603699052208, -0.123572969314221, -0.546702702494961, 0.0034695297254788, 0.0421040440272306, 0.311633003023489, -0.456451826688939, 0.116640304099816, 0.0855784948778106, -0.4341317764788469, -0.0391791805333756, 0.4059716330444221, -0.0638991282678985, -0.618871914653167, 0.462693048941244, 0.263761485772197, -0.212036398178924, -0.027080813592088, -0.156825121064219, 0.0855677977458843, 0.431181517425327, -0.0474333900039403, 0.0235050830594983, -0.4330149512287969, -0.0498188786954225, 0.0871079531475779, -0.0468880670261548, -0.405856387055935, -0.434147737020118, -0.625234832713442, -0.0621205482284843, 0.102858660863854, -0.266093074006327, -0.000592042978587335, -0.20008183833106, -0.313669496762131, -0.2245444692759889, 0.243571567458959, -0.0420078358390389, -0.385190059241687, -0.0708701865863707, -0.355428455211967, -0.161341525246312, 0.731510385499713, 0.314115639302672, -0.288289698178326, -1.00170939101049, 0.241863255213295, 0.305096294803781, -0.578645547701398, -0.174731983315587, 0.075375361386478, -0.28003613481884, 0.119559649755431, -0.140104918520499, -0.477822795377555, 0.1092669582602339, 0.125231135154773, -0.232240803554614, 0.262754246482093, 0.132267167105948, -0.0543318847618792, -0.062282039470746, 0.236779841318693
8	0011-002	92	538028	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	0.848804357161631, -0.104787129312771, -0.104787129312771, 0.343677721671676, -0.479903528261504, -0.64307343397193, 0.0638681422465341, -0.174450645834236, 0.29219668897032, -0.35226342674628, 0.306485709603884, 0.260272019757781, 0.445572394531345, -0.1970892400403, -0.0373333177333299, 0.272680861319572, -0.0955961903243557, -0.0096693782172372, -0.1879750436093059, 0.0107416529212329, 0.22505119050612, -0.1071401185944909, 0.184094989206302, -0.331860015341137, -0.0208535294429986, -0.0784566427231376, 0.229331077305401, 0.200565907203136, -0.00081128981342545, 0.456971187900773, 0.3474871176743, -0.0078586323896406, -0.0802661701188868, 0.211357569976574, 0.232588524982944, -0.253236052263571, -0.177496095261024, 0.0246220622932927, 0.0641856126481671, -0.266156607921951, -0.142214242279982, -0.0804615468502909, -0.269113632544628, -0.0256754962646429, 0.10939151942956, 0.189341025065601, -0.134580729878765, 0.133765646491704, -0.211831970526365, 0.299801295337326, 0.1175177923765419, -0.497891331650205, -0.202642898251846, 0.0791950150989862, -0.2079072856664539, 0.24141802250493, 0.0277817623537245, -0.170612922074549, 0.0514669602176816, -0.258243130283035, -0.0802644987897868, -0.46871236297304, 0.0764242269711038, -0.0940571748984072, -0.0315833551902614, 0.176784602881214, 0.0287419942934699, -0.143999568648375, 0.160400983451346, 0.154495954795629, 0.433759809066999, 0.517669189259524, 0.0308238119475509, -0.0668672722008373, 0.362853657246447, 0.270863846165669, -0.0348822169767878, 0.139248608963737, -0.280235358334186, 0.285523355018282, 0.1642571564733719, -0.155448877686738, -0.1850520062202759, 0.266709514426899, -0.0219177799337556, -0.107462391153033, -0.235122453422367, -0.314665033724622, 0.271815029635797, -0.304670151604857, -0.0492466523294595, 0.0584929409788232, 0.135754039449026, -0.120084588545166, 0.102495601113511, -0.204545643526394, 0.248518035714795, -0.110860683804835, 0.162808083976012, 0.0489383121659538
9	0011-002	744	542443	ἀρχή	ἀρχὰς	A	II	1	a	first place	0.9255156849840116, -0.2413804921492152, -0.2413804921492152, 0.4983826677984357, -0.245562547413598, -0.4419767829288476, -0.2312031029410464, 0.0609801517261452, -0.0548611512351815, -0.1101071773213027, 0.2657861257801772, 0.0424447351809337, -0.2792572807404263, 0.0221492386027158, 0.1112466637969765, 0.059708147999315, -0.1007874669726088, 0.1025223916958686, 0.2820122087496794, 0.0987893450437086, 0.0030488056456178, 0.1585896997725885, -0.2730718568021846, 0.1653038321905597, -0.2609496419615103, -0.2646120369651983, 0.1053185061625622, 0.0429287742212648, 0.0002983289006661566, -0.0771495727230761, -0.3884323447478339, -0.0204206469712255, -0.3011408306640374, -0.054250911591918, -0.1570967770288604, -0.0326249125022656, -0.0678918895146494, 0.0909349859280938, -0.094806416450267, 0.2189632559071312, 0.1044304514299937, 0.1790587192663342, 0.0652593267648347, 0.0910885582254142, -0.176164617467226, -0.225174432877846, -0.2983202004773398, 0.0271946592806052, -0.0589798164194105, 0.0675175648695476, -0.2216904226755375, -0.0750560798449264, -0.0284264577989261, 0.00023094477039065496, -0.0372550468879732, -0.0041774888172552, 0.0381151276183556, 0.1026820184872811, 0.1367684830791748, -0.3572241995239597, -0.0305938531505113, -0.0453988081310788, 0.0284780643410449, 0.1213045892444584, -0.0761825172471036, -0.0172269830287572, -0.0112753262524287, -0.0393702295290064, -0.3513990824618596, 0.0452818656964711, 0.2181638351704764, 0.0525222902083657, 0.1256366892275985, -0.3159732386424773, 0.0800355851099552, 0.2002035652007448, 0.0261034299936547, -0.0393782531603981, 0.2015184248154817, 0.0687945181801747, -0.3004578168548294, -0.2373580461034914, -0.211032440781776, -0.0231986912829649, -0.069397571969369, 0.1610267034408623, 0.1731833269040154, -0.0131297583733408, 0.0096901919991954, 0.1828060543743381, 0.0867450529653433, 0.0675339054227791, 0.0230476153176846, -0.1096112445168497, 0.0700312697079931, -0.1353963820255956, -0.0795651517546305, -0.1500002050319664, 0.3254681105767609, 0.0892732085305023
10	0011-004	380	558469	ἀρχή	ἀρχῆς	A	I	1	b	the beginning,	0.21613269725314, -0.489785755764999, -0.489785755764999, 0.328842452444306, -0.066023628391413, 0.522402326351208, 0.008341404374889, -0.0418474457378512, 0.488474952395363, -0.292890066078125, 0.156652784253303, -0.179043361671867, -0.126817229992924, -0.0696151183033746, -0.266162170957494, -0.36869167298307, -0.0518424907992312, -0.0885067381584174, -0.0199068988177939, -0.026837654820248, 0.22804846034999, 0.248833511284328, 0.0826599674111029, 0.394456761132142, -0.392485864320524, -0.0365536780914224, 0.198523551870416, -0.160347499274762, -0.544424585099012, -0.444487919418926, 0.230366963414607, -0.0073524317257243, 0.272785925297658, -0.195340791142147, 0.121571682979321, -0.003701947184113, 0.247675963106051, 0.0380509377933155, -0.133838850900766, -0.132702872124456, 0.0500908418413986, -0.0357286586591583, -0.0663951802687364, 0.0030143653468186, -0.0725267041576926, -0.0221222363291461, 0.257970563130044, -0.325983614255652, -0.0185464135740623, 0.0334532474840988, -0.0299820356965854, -0.109397325789324, 0.0965641805532641, 0.236246053795002, 0.23605318731078, -0.0820808555303249, 0.0023688023972867, -0.289197298841854, 0.0739432765163788, 0.0737270370815594, 0.0035815206216325, -0.0148852971649119, 0.264520329542556, -0.0185028014216599, -0.0899921683201064, 0.129547047135405, -0.0888547880544268, -0.0278481653136885, -0.141122759545318, -0.101486136437574, 0.0387200468584296, 0.167399196173594, 0.123299474977056, 0.0852882761571463, -0.116023977126045, 0.150024245810295, -0.118019310053736, -0.068609270758617, 0.0753077480332407, -0.161736040306056, 0.0198665601441418, 0.0588390617266864, -0.0497481126956928, -0.041293600226387, -0.0426610285233754, 0.0477153509356071, -0.102263576403807, 0.201907695611514, 0.0328285975136996, -0.0300501644352398, 0.0528356871268375, -0.231223840058363, 0.0140179792256473, -0.0959880671631274, -0.0545657043184946, -0.15870213629211, 0.170719364102157, 0.0606725282976228, -0.0379252222560831, 0.0058393570486607
