index	doc	subdoc	word	lemma	form	sense_1	sense_2	sense_3	sense_4	translation	vectors
11	0011-004	736	561008	ἀρχή	ἀρχὴν	A	II	1	a	first place	1.34830599227079, 0.3473183774177628, 0.3473183774177628, 0.5149355923156773, 0.6380357361893251, -0.3517902038298894, -0.4324404953248826, 0.0371510331987232, 0.0844286278257115, -0.5207064651484683, 0.2246292613411438, 0.4071697854181547, 0.3027334786588271, -0.1623254041402942, 0.204852587526479, -0.4218365831928244, 0.0840632169006074, 0.1944207792828028, 0.0513316812706355, 0.4334517402778867, 0.2289832947313717, -0.2535388016484998, -0.0411191810780461, 0.0909227133331126, -0.0184424262530666, 0.4133516265479427, -0.1083927316765356, -0.108074230101195, -0.1067525990163848, -0.0407528164583832, -0.0650842784676586, 0.0043788038553479, -0.011034776302724, 0.0015055834900847, 0.0400842734319323, 0.0504416501467564, 0.1193255949548642, -0.0914515269503947, 0.0106240015696386, -0.0401156134454607, -0.1047306577161601, 0.1048485305402357, -0.1889683987772875, 0.0200722113805071, 0.0079003692965452, 0.1046501623350967, -0.0728406126995134, -0.0033513136375594, -0.0388797583965996, -0.1726005320912103, 0.1298746630850384, 0.1642341268353191, -0.006372854982173, -0.0512173392575545, 0.126802859833777, -0.0417845803615428, -0.1343377301391388, -0.0521423363003003, -0.0060639402718376, 0.1477941529303122, -0.0356301738112162, 0.0482823919386434, -0.0907642464798582, -0.004821402611057, -0.0309715988306017, -0.0348311346398246, 0.0690222901978048, 0.1787104174958384, 0.1656660073022487, 0.0935394100732685, -0.0749532405814382, -0.0911740281260935, 0.2217242984073237, 0.2041752505942258, 0.0045845349457217, 0.3041172633207528, -0.2085285153881353, 0.0107045150927645, 0.0064746696426478, -0.130721732557127, 0.0234677571163241, -0.0626981384388225, 0.1551124038932483, -0.3655184505716699, -0.0856624844511598, 0.0754183260154328, -0.0721925579883058, -0.0713686079996741, -0.0629453318533359, -0.0380980803035797, -0.0670696915267142, 0.0227493412966152, 0.0695152252742387, -0.0515937644616957, 0.0482509510542259, 0.0369827131028852, -0.0530525110854479, -0.0258402921393724, 0.0894456188586618, 0.024918915471565
12	0011-005	439	569832	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
13	0011-006	1239	586467	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	1.261127053432732, 0.3220222519993753, 0.3220222519993753, 1.5453015398077308, -0.2784879289101254, -0.5291044018135432, 0.5039614324210594, 0.722878399460878, 0.5766180881396095, 0.9516783441146672, -0.1734717873979551, -0.247661978372056, 0.4959774636549036, -0.5025521727584991, -0.4375100856744722, 0.2286954630395391, -0.4542140947999423, -0.0224223546632443, 0.2016750309091793, 0.2569441461354811, -0.015289096440664, 0.280763318680129, 0.0588563614820159, 0.0603060273240403, 0.0239677207538357, 0.4048843636423904, -0.0283889009430076, -0.1408298859693014, -0.3274778094380914, 0.1037490551157926, -0.2224125031987186, -0.034029936291788, 0.1102603667832031, -0.0455395646302361, 0.001900436905429, -0.0309192125470143, -0.2973557658034652, -0.1379388212230158, -0.0778370133096912, 0.157658239320159, 0.1103745728983222, 0.1129672823448986, -0.137173802808917, -0.080034659294021, 0.0993651146005814, -0.1095793798747642, 0.0258842960070272, 0.0920605454616021, -0.1153724279351723, 0.0751644719024398, -0.1069756146651419, -0.0211757462950557, -0.0302378950777257, 0.016118507114292, 0.0262626817588339, -0.1630926356693764, -0.3623752377155896, -0.1053782014236264, 0.1909425720554475, -0.1826315602823509, -0.1934240564508212, -0.2597376996403397, 0.117519693277161, -0.0729630166689268, -0.2709326792015869, 0.2089012332442251, 0.2400065677679519, 0.0189999645304399, -0.3915586935679374, 0.0121406634586775, 0.1128713973476592, 0.0215098493518959, -0.2060513840361032, 0.0598050771980336, -0.1077641565383328, 0.0426309081209841, -0.0676210883609582, 0.0943384310330764, -0.1210446486856824, -0.0073226827913465, 0.0384010154072673, -0.0096762801882545, 0.0033198335011377, -0.1548543894370618, 0.0196552871843648, 0.1124432075339695, -0.189962467146554, -0.0707684380711427, 0.0097194124562156, 0.0181112904725124, 0.0403940294248076, 0.0945393404644431, -0.0327976286236384, -0.1161897069344182, 0.0774763700507625, -0.1765359443243976, 0.0473065738823277, -0.0653110268653351, -0.0326754296153257, 0.0738558328643638
14	0026-001	11	741838	ἀρχή	ἀρχὴν	A	I	1	a	beginning, origin,	0.4342794701242065, -0.9141657688535352, -0.9141657688535352, 0.5326722615877504, 0.1335166935143922, -0.048994559356863, -0.5154122393270878, 0.074376331765785, 0.0088577960403562, -0.0476505002032753, 0.3830083669882032, -0.4200813933988052, -0.1436721899775158, 0.0796957401489187, 0.2491554603473916, 0.1751428196662143, 0.0635903650241442, -0.1715565437407601, 0.1690832754810642, 0.1735672578729108, -0.1434205758442004, 0.1889773136931872, -0.1683172300207118, -0.0344522891656466, 0.0037007891573408, 0.2115367715958802, 0.1985616590676552, -0.291201767653205, -0.040071312029656, -0.1890844018240964, -0.1577697802961776, -0.1683887818572854, -0.0624193431104235, 0.1142625560292025, -0.1061554228721325, -0.3227871869886083, 0.129810338086957, -0.0192858398167933, -0.2658181589901671, 0.0142369700978274, -0.003080875283687, 0.1033687288592665, -0.0229505668040097, 0.1249916592134742, 0.1234703778383383, 0.0496291168411017, 0.0902340625235553, -0.0077025119363037, -0.0006019138810325925, -0.0376252363646376, -0.1927863823627464, 0.2456374909973888, -0.3149615047781118, -0.154756054586161, 0.0421842230661434, -0.1004006485398454, 0.0589905259086456, 0.0736450420254134, 0.0307278474409839, -0.1001187405429297, -0.1803778998081561, -0.1231074641517123, -0.0255117014764582, -0.0418509752383057, -0.0889209848272506, -0.0873779985031325, 0.1731658369156644, 0.1275117570272303, -0.3049576929629671, -0.0398193757928616, 0.1994101893886436, -0.0302989408522181, 0.0749723956688988, 0.016309116381641, 0.0471822264172806, 0.086153128523506, -0.0087216760295374, 0.0076622577855125, 0.1165380779879714, 0.003973161018308, -0.0964392460519602, -0.1033839630877628, 0.0989624419048886, -0.1217118636518836, -0.1271691742829812, 0.1664500562748353, -0.0233471270937919, 0.0769547285172155, 0.0378897398952598, -0.0077431215799608, -0.0683775096571751, -0.0268134608216479, -0.0449992063619415, -0.1065604411120113, -0.0237433925052675, -0.1020106117524608, -0.0113660451765075, -0.0878699856364403, -0.0587152233026571, 0.1903845908202082
15	0026-001	21	742662	ἀρχή	ἀρχὴν	A	II	3	a	magistracy, office,	0.8743643481586006, -0.1389222383895582, -0.1389222383895582, 0.7394566625212158, -0.0958364380688449, 0.1033054049964012, -0.0306679588102973, 0.1974332159523787, 0.1312136640930556, 0.0673140314772547, -0.0237835001834466, -0.4225586734074751, 0.2162082618993097, -0.0396055835902475, 0.0270636921577112, 0.2050617201571251, 0.1389718719027482, -0.3147161804921496, 0.3495730794424967, 0.181782990776666, -0.0207589077491783, 0.1452923228607183, -0.0452864636272455, 0.1886604227783882, 0.0809670159584406, 0.1639712302804602, 0.1312693451113434, -0.0140701393881721, -0.0366729488568548, -0.0199519558598712, -0.0696575291711483, -0.0557431955236804, 0.0075703550775283, 0.2190114644276219, -0.1832200876923398, -0.0962366652705376, 0.0780790525150984, -0.062322074953326, -0.051074756039899, 0.2266216029752699, 0.0853567605375343, 0.1152629692753818, 0.0328739266863856, -0.0762764481025885, 0.0745643616959846, -0.0852094175354133, 0.0302526861145015, 0.066716289692472, -0.089919522944597, 0.0068883968154077, -0.0581757694746351, 0.1063807046135244, 0.0227471971226069, 0.0452982491425285, 0.0794082769706234, -0.062707841883919, -0.1154772649896449, 0.034312748086475, 0.0507946674164303, 0.0714795005734709, 0.0081090250067816, -0.1210098483475379, -0.1198621549792522, -0.0561943894095195, 0.0744660180559951, 0.0052243670684367, -0.034422181636139, 0.0598564596550881, -0.2446042941703371, 0.0563696101038851, 0.2442196572746778, -0.0275202397788352, 0.1383414878695938, -0.010057003178377, 0.0862032203668467, 0.0881349264508785, 0.2049781631388125, -0.0296631412029401, 0.1187258924713184, -0.1352926314119844, 0.0807819285848868, -0.0300493807659904, -0.0534046187162365, -0.0232357443969904, 0.0371539536357456, 0.1154741169534224, -0.1300749695736723, -0.0435002512605813, -0.0796210515695321, 0.0457111498219581, -0.0397990793218704, -0.1936662437903912, 0.0905337371277516, -0.1717281250441758, -0.0358556119076645, -0.0655003269324972, -0.0671859852413237, 0.0479629059368565, -0.013442625029867, 0.1028757561815494
16	0027-003	20	812202	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	0.54322467648954, -1.00604265608964, -1.00604265608964, 0.630264243276215, 0.0845016875197486, -0.260228479265077, -0.728763463469185, 0.103662724998707, -0.271863634763877, -0.325599983706706, 0.302474602770006, -0.350958582959436, 0.0786015972667332, 0.0783608826672951, 0.173185215501368, 0.171660349905408, -0.0950966984363324, -0.322083257689724, 0.283574508765417, 0.185990832214776, 0.0197899804683853, 0.242092989996013, -0.212576109856127, 0.0673961852557969, -0.216407905746015, 0.190107305381224, 0.518327797956016, -0.234647554852775, -0.001125998263792, -0.230474277251629, -0.319009044995116, -0.206290617243701, -0.167747994571899, 0.245006848025974, -0.167699552991457, -0.470964949120455, 0.019823061010807, -0.03197273165073, -0.432050059969417, 0.0072679702728831, 0.0246513165931522, 0.357784654522162, -0.0105370581767397, 0.194243892094004, 0.0731308934302417, -0.0481410214473069, 0.130923574493875, 0.116250950376896, -0.0297764152255148, -0.10717520710645, -0.189710025724341, 0.34757027279917, -0.32932282118944, -0.340532245043029, 0.0328674399107545, -0.159267152751764, 0.155040379454609, 0.171024334881206, 0.0145521250563581, -0.2022184931079639, -0.294084059448199, -0.314373637644238, -0.0108959188098577, -0.175300377152318, -0.0602426358205674, -0.226320102040624, 0.23640489438647, 0.0910228205569421, -0.603953336382776, -0.0753294601540926, 0.363468251343992, -0.0588426731788575, 0.227245055113255, 0.13328772093139, 0.0662343611816532, 0.202143048891661, 0.0604625797581419, 0.0216615456225538, 0.150067296722941, -0.105627667417791, -0.0996129710070597, -0.225490159377591, 0.144734442637309, -0.206754526542311, -0.111706859263588, 0.281810364418438, -0.093800164652404, 0.0467339327922654, -0.0340811841265374, 0.0456199793520822, -0.152604081873554, -0.0322660607492988, -0.0076960302921762, -0.0513032038386967, -0.0585923815756662, -0.214944746339612, -0.0684989521343171, -0.120580298848335, -0.0503368644671579, 0.200947614446051
17	0028-005	48	829942	ἀρχή	ἀρχῇ	A	II	4	a	magistrate,	0.519024844920818, -0.831997270269028, -0.831997270269028, 0.822688678055835, -0.618152899403386, 0.0339529103539156, -0.112055755486856, -0.0715720391931604, -0.26320138073158, -0.34706588858339, 0.437322762535033, -0.394613543078872, 0.325886647267229, -0.309041059143499, -0.272958718314053, 0.4894271392527, -0.0435345734538642, 0.0630393195996106, 0.466953773949849, 0.0434590957343114, 0.110618554411562, 0.32340324440314, 0.0414051266417334, 0.337426154102312, 0.0211797887288946, -0.212010427286654, 0.343679576735638, -0.171155808350136, -0.0904695365922048, -0.634066931403389, -0.0815867878361654, -0.355680912443087, -0.398732783501656, 0.147555075341069, -0.255035953875992, -0.235801518995482, -0.429701260260132, 0.0760733960689549, -0.165523075008257, 0.339755922594716, 0.199498111062854, -0.0208446495767171, 0.125346110318074, 0.672383150705603, -0.0273706731647436, -0.029016242680044, -0.050807779567291, 0.324636828451672, -0.0602280360055927, 0.170399022272868, 0.1552093083661, -0.214365244759529, -0.240368227348507, -0.176849359904889, 0.0391766229268665, -0.141195435133627, -0.103481808509077, -0.262747281966164, 0.363999828236484, -0.371111106979363, -0.221845719830219, 0.300069297929579, -0.155216561795313, 0.112364404320055, 0.141151669521379, -0.0638833496192861, -0.38864875457148, -0.0308314310328171, -0.214746349994768, -0.321582669267855, -0.0533095423696537, 0.409041040049522, 0.597619089858185, 0.0715095072565514, 0.0410290465754184, 0.138594365955543, 0.0472320300831149, 0.34025942927485, 0.251239477760661, -0.0918566206240845, 0.138868151045465, -0.194713475055565, 0.155275794584216, -0.041974175581297, 0.0246144246172076, 0.282906332278022, 0.0703949061317627, -0.34259025285052, -0.163138025796123, 0.107934028291927, 0.0646717211193052, -0.0485883514050233, -0.0032123722026624, -0.136057047260165, 0.4305031559796049, -0.0650790702641211, 0.0868550265117549, -0.0746590727238787, -0.196348570309631, 0.176930416257685
18	0028-005	73	831816	ἀρχή	ἀρχὴν	A	I	1	c	to begin with, at first,	1.47969486563607, 0.584767602587192, 0.584767602587192, 0.874746264624254, -0.732754642093989, -0.0149027181939602, 0.482494633063302, 0.195317224306632, 0.0738236272896189, 0.107138255137503, -0.414767493483512, -0.0305285588512589, -0.119429921866399, 0.2487385408675159, 0.0234284258498306, 0.239548537412695, 0.161287285966383, -0.176485885810142, -0.0395997848639626, -0.0716311055638833, 0.227625018227837, 0.0331069115250037, 0.251816740780332, -0.123287614647226, -0.223239796855366, 0.0644106733611609, -0.0031865230611304, -0.449765060828206, -0.146882725488604, -0.246326108937216, -0.0801782088755001, -0.0470714380388518, -0.132035801432339, -0.108484858158357, -0.210532967947854, 0.230078496026703, -0.156857158644163, -0.466769354960051, 0.038779295427472, 0.860370094801025, 0.325980566966975, 0.577102612356745, -0.297372971973292, 0.077537640677861, -0.0778624563662661, 0.245696720787957, -0.105395912334489, 0.363712112763684, 0.2661825690379351, -0.0537785190617359, -0.0208097614987119, 0.18090892706013, -0.386825315510257, 0.0072546836072548, 0.0936637119885485, -0.669114691103843, 0.0204486175787373, 0.619818550797648, 0.222394808620777, 0.136806712458073, 0.145778101176421, 0.401631386921528, 0.126980527932052, 0.329088523961792, -0.153843744494642, -0.278423191267462, -0.199532321519057, 0.148092360114182, -0.159505709539709, -0.183099694060005, 0.304606458620483, -0.0513596082110053, -0.400286910263751, 0.291154768412203, -0.0673024377390692, -0.198726546968639, -0.60948250069194, -0.141734226688253, 0.0644862690515555, -0.0539645787380656, 0.239608048111027, 0.0105618232432522, -0.110190467018839, 0.410183217893873, -0.175624253493151, 0.554929372801315, -0.114123664369346, -0.110883313038907, 0.0177276806719888, -0.324900649151501, 0.483495892733362, -0.331965018974967, 0.396675685077543, 0.085324357199656, 0.0034253385633137, -0.0348986993999671, -0.373190443628578, 0.025453063081975, 0.205119630424866, 0.32704816706491
19	0028-006	42	836919	ἀρχή	ἀρχῆς	A	II	3	a	magistracy, office,	2.17975774335954, 0.526021995747483, 0.526021995747483, 1.14664760875405, 1.12693125011009, -1.36829327458769, -1.01828001233674, 0.606509603493777, 0.0351816672255285, -1.02243982261148, 0.388198183242879, 0.975352294018752, 0.748622214028306, -0.536317825883408, 0.100359089375158, -1.23200187795802, -0.716205001455118, -0.355519965206413, -0.0673294264837148, 0.530776399218939, 0.337624235821749, -0.120246738229935, -0.569640746147091, 0.346461376378472, -0.583533977337309, 0.177228245776506, -0.427775012077472, -0.670597854798454, 0.188484286422799, -0.267306710268721, -0.0611642887646447, 0.21325734806401, -0.781987345147452, -0.478161372942862, -0.0299756097642616, 0.304828614827651, -0.248036816885997, -0.197857779736956, 0.450259719242599, 0.206681317260029, -0.0740910788688442, -0.193421858710158, 0.0394467388404874, 0.35497687562271, -0.0609825457126181, 0.484524934047694, -0.555023212492835, 0.165605473916524, -0.0443263180056126, -0.104708107570744, 0.115903910349263, 0.465687334597943, 0.243509626583773, -0.175559250749914, 0.164235596437873, -0.185036823361641, 0.170402751924357, -0.172548805183387, -0.0012751747853816, 0.778614322923357, -0.0249058002927394, 0.111184845691661, -0.389897477102923, -0.0781983400421631, -0.162232488461316, -0.309159664095694, 0.298604232041951, 0.434361643610472, 0.466830488089256, 0.403504477315936, -0.156358404581635, -0.258431905098295, 0.561337610739033, -0.213948782536456, -0.173482987574586, 0.452030108378127, -0.0491981139778336, 0.0819419437013295, -0.157896259618907, -0.165386899365733, 0.233134628340202, -0.230743040942065, 0.249375507380303, -0.320810745806816, -0.178353261692735, 0.0848571657352452, 0.0031822376494388, 0.296253334055662, 0.563061695529117, -0.468484486206805, 0.0932490373838544, -0.0582559101349744, -0.0779815013007388, -0.0577066549742791, -0.177282222428584, 0.261544502426215, 0.0302563729791526, -0.139935280405291, 0.189539768612458, 0.277611500289506
20	0552-004	11	912076	ἀρχή	ἀρχὰ	A	I	4	a	origin	0.182371175355266, -0.3202260115621869, -0.3202260115621869, -0.0877539086167948, 0.0444183574459779, 0.0516922357165299, -0.306423794403258, 0.164233843768375, 0.0995159974011433, -0.0108407799051452, -0.160197014532434, 0.0904646237997934, -0.008986282834485, -0.0559887588034597, 0.0454341692392115, 0.158237072458232, 0.0441509743896384, 0.0050083911539345, -0.117348874588101, -0.0424274054571547, -0.0770099828089514, 0.312288568328052, -0.0177318374595246, -0.188880423721188, -0.0065783151413976, -0.256307970474017, -0.0145706326518794, -0.139487766415514, -0.13987374860397, 0.115036794171372, 0.0197041096577457, -0.007914262448768, 0.114834683467626, 0.3204940629770749, -0.140087731481579, -0.0289877651987723, -0.129226505924363, -0.213447113533042, -0.210156891814461, 0.042683119791808, 0.115989779588578, -0.009718077892487, -0.0109460940575783, -0.0410218201613747, -0.0896171900497136, 0.042715672135823, 0.164587522290624, 0.092940907014243, 0.0852255716865498, 0.174317703179768, -0.0782254909280637, 0.0810000738939988, 0.0793385567909539, 0.0091376642413274, 0.183437454378884, 0.110281513100393, -0.108105593194221, 0.0286614918881969, -0.0764094900131259, 0.0388182851666144, 0.213403462403166, 0.0968191576025804, -0.0851950968070196, 0.119765630558449, 0.0466271036523935, 0.0539510312172971, 0.219657025642411, 0.026375002575187, -0.0832821461320579, -0.117511374265005, -0.0087133392230307, -0.186704335908179, 0.0648622738157825, -0.0751420654605667, -0.0061800130402774, -0.116492710746312, -0.0242775710930883, -0.0860215409266733, 0.0305648579869989, -0.0816409980840841, -0.0567476022120811, 0.0550501680347097, -0.0392501655303425, -0.0201410629470971, 0.0061298740867932, -0.0911998487973147, 0.0187577355133428, -0.0854290807921337, 0.0128435163712656, 0.0878419648258445, 0.0231610400719022, -0.0134775408295488, 0.0539668110744539, -0.0375319308720905, 0.107012620091817, -0.197696326538279, -0.128196098434122, -0.101029882012984, 0.0547863137478739, -0.0583517396242438
21	0014-002	10	2135428	ἀρχή	ἀρχὰς	A	I	2	a	first principle, element,	0.426054400663258, -0.644388103892865, -0.644388103892865, 0.255599186872927, -0.289428639091686, -0.275385511928189, -0.513702806452943, 0.340315936881312, -0.176130583876474, -0.25045973782671, -0.0852983609340812, -0.243902207586726, 0.0869511358366088, 0.0624473902431449, 0.120496884899553, 0.221040187075692, 0.0688891112375188, 0.212480081825569, -0.0305224021175639, -0.105357985755445, -0.0172037875656969, 0.299339328784591, -0.184103236511724, -0.395323194427377, 0.144070681807201, -0.472104003770342, 0.262033899864399, -0.0585639559544755, 0.0309164354764594, -0.156155454734154, -0.210906255463011, -0.0601577994997336, -0.235647701966301, 0.226310491723746, -0.0339346720753454, -0.112451609486548, -0.211686562464078, 0.0060467345707699, 0.0194996399165265, 0.267825350115502, 0.106910411458734, -0.11085582290989, -0.0476937195344076, 0.0061228527329193, 0.0862790183111115, 0.124301117009568, 0.159707028841128, 0.159644636427447, 0.111044966031411, -0.0432665373351854, -0.119589591744472, 0.0335161809829153, -0.0448597226817868, -0.094859302824084, 0.152758104553725, 0.219015915125352, -0.143700744532206, -0.0054690928488762, 0.0422116834435556, 0.0837237266920579, -0.245445451203259, -0.282802784594371, 0.393686825554585, -0.127961595737835, 0.0690296424411804, -0.119213418770324, 0.104063667272921, -0.0539634653200652, 0.137910959668739, 0.107557270947731, -0.0026331206387819, -0.0154267982302921, -0.243721321053389, -0.0161269847181184, -0.0701075818731773, -0.520672320544983, 0.0775322002033891, 0.0944666192415381, 0.286949679585071, -0.206833161221333, 0.266686710141621, -0.0131691314154898, -0.177549266115708, -0.123022193017015, -0.180921626661044, 0.106848394281416, 0.127908401284175, 0.0230111198081337, -0.0841406150531471, -0.0398715654127487, 0.0540548313030311, 0.120997359140457, -0.064786097546891, 0.0244489938416845, 0.164703901411302, -0.12876799800598, 0.0513825132255304, 0.190331197176116, -0.161412686628445, -0.0427995985952396
